date,store,item,sales
1/1/13,1,Tide Pods,13
1/2/13,1,Tide Pods,11
1/3/13,1,Tide Pods,14
1/4/13,1,Tide Pods,13
1/5/13,1,Tide Pods,10
1/6/13,1,Tide Pods,12
1/7/13,1,Tide Pods,10
1/8/13,1,Tide Pods,9
1/9/13,1,Tide Pods,12
1/10/13,1,Tide Pods,9
1/11/13,1,Tide Pods,9
1/12/13,1,Tide Pods,7
1/13/13,1,Tide Pods,10
1/14/13,1,Tide Pods,12
1/15/13,1,Tide Pods,5
1/16/13,1,Tide Pods,7
1/17/13,1,Tide Pods,16
1/18/13,1,Tide Pods,7
1/19/13,1,Tide Pods,18
1/20/13,1,Tide Pods,15
1/21/13,1,Tide Pods,8
1/22/13,1,Tide Pods,7
1/23/13,1,Tide Pods,9
1/24/13,1,Tide Pods,8
1/25/13,1,Tide Pods,14
1/26/13,1,Tide Pods,12
1/27/13,1,Tide Pods,12
1/28/13,1,Tide Pods,11
1/29/13,1,Tide Pods,6
1/30/13,1,Tide Pods,9
1/31/13,1,Tide Pods,13
2/1/13,1,Tide Pods,11
2/2/13,1,Tide Pods,21
2/3/13,1,Tide Pods,15
2/4/13,1,Tide Pods,14
2/5/13,1,Tide Pods,9
2/6/13,1,Tide Pods,10
2/7/13,1,Tide Pods,13
2/8/13,1,Tide Pods,11
2/9/13,1,Tide Pods,14
2/10/13,1,Tide Pods,11
2/11/13,1,Tide Pods,16
2/12/13,1,Tide Pods,11
2/13/13,1,Tide Pods,14
2/14/13,1,Tide Pods,10
2/15/13,1,Tide Pods,11
2/16/13,1,Tide Pods,7
2/17/13,1,Tide Pods,11
2/18/13,1,Tide Pods,10
2/19/13,1,Tide Pods,10
2/20/13,1,Tide Pods,7
2/21/13,1,Tide Pods,13
2/22/13,1,Tide Pods,12
2/23/13,1,Tide Pods,15
2/24/13,1,Tide Pods,11
2/25/13,1,Tide Pods,7
2/26/13,1,Tide Pods,9
2/27/13,1,Tide Pods,9
2/28/13,1,Tide Pods,10
3/1/13,1,Tide Pods,15
3/2/13,1,Tide Pods,13
3/3/13,1,Tide Pods,20
3/4/13,1,Tide Pods,14
3/5/13,1,Tide Pods,13
3/6/13,1,Tide Pods,17
3/7/13,1,Tide Pods,11
3/8/13,1,Tide Pods,15
3/9/13,1,Tide Pods,16
3/10/13,1,Tide Pods,11
3/11/13,1,Tide Pods,18
3/12/13,1,Tide Pods,14
3/13/13,1,Tide Pods,13
3/14/13,1,Tide Pods,10
3/15/13,1,Tide Pods,14
3/16/13,1,Tide Pods,10
3/17/13,1,Tide Pods,22
3/18/13,1,Tide Pods,11
3/19/13,1,Tide Pods,19
3/20/13,1,Tide Pods,14
3/21/13,1,Tide Pods,17
3/22/13,1,Tide Pods,21
3/23/13,1,Tide Pods,21
3/24/13,1,Tide Pods,19
3/25/13,1,Tide Pods,13
3/26/13,1,Tide Pods,16
3/27/13,1,Tide Pods,11
3/28/13,1,Tide Pods,13
3/29/13,1,Tide Pods,17
3/30/13,1,Tide Pods,19
3/31/13,1,Tide Pods,20
4/1/13,1,Tide Pods,11
4/2/13,1,Tide Pods,19
4/3/13,1,Tide Pods,24
4/4/13,1,Tide Pods,18
4/5/13,1,Tide Pods,19
4/6/13,1,Tide Pods,23
4/7/13,1,Tide Pods,17
4/8/13,1,Tide Pods,19
4/9/13,1,Tide Pods,13
4/10/13,1,Tide Pods,19
4/11/13,1,Tide Pods,16
4/12/13,1,Tide Pods,18
4/13/13,1,Tide Pods,17
4/14/13,1,Tide Pods,26
4/15/13,1,Tide Pods,14
4/16/13,1,Tide Pods,9
4/17/13,1,Tide Pods,17
4/18/13,1,Tide Pods,21
4/19/13,1,Tide Pods,22
4/20/13,1,Tide Pods,22
4/21/13,1,Tide Pods,20
4/22/13,1,Tide Pods,13
4/23/13,1,Tide Pods,11
4/24/13,1,Tide Pods,13
4/25/13,1,Tide Pods,14
4/26/13,1,Tide Pods,20
4/27/13,1,Tide Pods,22
4/28/13,1,Tide Pods,19
4/29/13,1,Tide Pods,11
4/30/13,1,Tide Pods,15
5/1/13,1,Tide Pods,16
5/2/13,1,Tide Pods,23
5/3/13,1,Tide Pods,22
5/4/13,1,Tide Pods,20
5/5/13,1,Tide Pods,14
5/6/13,1,Tide Pods,14
5/7/13,1,Tide Pods,15
5/8/13,1,Tide Pods,14
5/9/13,1,Tide Pods,11
5/10/13,1,Tide Pods,16
5/11/13,1,Tide Pods,19
5/12/13,1,Tide Pods,13
5/13/13,1,Tide Pods,9
5/14/13,1,Tide Pods,13
5/15/13,1,Tide Pods,16
5/16/13,1,Tide Pods,15
5/17/13,1,Tide Pods,16
5/18/13,1,Tide Pods,20
5/19/13,1,Tide Pods,19
5/20/13,1,Tide Pods,14
5/21/13,1,Tide Pods,24
5/22/13,1,Tide Pods,23
5/23/13,1,Tide Pods,14
5/24/13,1,Tide Pods,24
5/25/13,1,Tide Pods,25
5/26/13,1,Tide Pods,27
5/27/13,1,Tide Pods,7
5/28/13,1,Tide Pods,12
5/29/13,1,Tide Pods,10
5/30/13,1,Tide Pods,19
5/31/13,1,Tide Pods,27
6/1/13,1,Tide Pods,26
6/2/13,1,Tide Pods,22
6/3/13,1,Tide Pods,12
6/4/13,1,Tide Pods,15
6/5/13,1,Tide Pods,24
6/6/13,1,Tide Pods,9
6/7/13,1,Tide Pods,21
6/8/13,1,Tide Pods,20
6/9/13,1,Tide Pods,38
6/10/13,1,Tide Pods,20
6/11/13,1,Tide Pods,18
6/12/13,1,Tide Pods,22
6/13/13,1,Tide Pods,21
6/14/13,1,Tide Pods,22
6/15/13,1,Tide Pods,26
6/16/13,1,Tide Pods,23
6/17/13,1,Tide Pods,13
6/18/13,1,Tide Pods,21
6/19/13,1,Tide Pods,18
6/20/13,1,Tide Pods,24
6/21/13,1,Tide Pods,19
6/22/13,1,Tide Pods,23
6/23/13,1,Tide Pods,24
6/24/13,1,Tide Pods,17
6/25/13,1,Tide Pods,21
6/26/13,1,Tide Pods,21
6/27/13,1,Tide Pods,26
6/28/13,1,Tide Pods,17
6/29/13,1,Tide Pods,20
6/30/13,1,Tide Pods,24
7/1/13,1,Tide Pods,23
7/2/13,1,Tide Pods,17
7/3/13,1,Tide Pods,12
7/4/13,1,Tide Pods,24
7/5/13,1,Tide Pods,17
7/6/13,1,Tide Pods,16
7/7/13,1,Tide Pods,34
7/8/13,1,Tide Pods,20
7/9/13,1,Tide Pods,23
7/10/13,1,Tide Pods,14
7/11/13,1,Tide Pods,25
7/12/13,1,Tide Pods,29
7/13/13,1,Tide Pods,22
7/14/13,1,Tide Pods,29
7/15/13,1,Tide Pods,18
7/16/13,1,Tide Pods,12
7/17/13,1,Tide Pods,16
7/18/13,1,Tide Pods,21
7/19/13,1,Tide Pods,25
7/20/13,1,Tide Pods,25
7/21/13,1,Tide Pods,26
7/22/13,1,Tide Pods,18
7/23/13,1,Tide Pods,17
7/24/13,1,Tide Pods,21
7/25/13,1,Tide Pods,21
7/26/13,1,Tide Pods,31
7/27/13,1,Tide Pods,19
7/28/13,1,Tide Pods,25
7/29/13,1,Tide Pods,8
7/30/13,1,Tide Pods,26
7/31/13,1,Tide Pods,27
8/1/13,1,Tide Pods,21
8/2/13,1,Tide Pods,19
8/3/13,1,Tide Pods,24
8/4/13,1,Tide Pods,26
8/5/13,1,Tide Pods,17
8/6/13,1,Tide Pods,10
8/7/13,1,Tide Pods,25
8/8/13,1,Tide Pods,20
8/9/13,1,Tide Pods,19
8/10/13,1,Tide Pods,22
8/11/13,1,Tide Pods,25
8/12/13,1,Tide Pods,10
8/13/13,1,Tide Pods,11
8/14/13,1,Tide Pods,19
8/15/13,1,Tide Pods,22
8/16/13,1,Tide Pods,15
8/17/13,1,Tide Pods,29
8/18/13,1,Tide Pods,27
8/19/13,1,Tide Pods,11
8/20/13,1,Tide Pods,15
8/21/13,1,Tide Pods,20
8/22/13,1,Tide Pods,20
8/23/13,1,Tide Pods,19
8/24/13,1,Tide Pods,19
8/25/13,1,Tide Pods,23
8/26/13,1,Tide Pods,11
8/27/13,1,Tide Pods,16
8/28/13,1,Tide Pods,20
8/29/13,1,Tide Pods,14
8/30/13,1,Tide Pods,20
8/31/13,1,Tide Pods,25
9/1/13,1,Tide Pods,25
9/2/13,1,Tide Pods,10
9/3/13,1,Tide Pods,16
9/4/13,1,Tide Pods,10
9/5/13,1,Tide Pods,16
9/6/13,1,Tide Pods,20
9/7/13,1,Tide Pods,20
9/8/13,1,Tide Pods,19
9/9/13,1,Tide Pods,15
9/10/13,1,Tide Pods,17
9/11/13,1,Tide Pods,26
9/12/13,1,Tide Pods,14
9/13/13,1,Tide Pods,16
9/14/13,1,Tide Pods,27
9/15/13,1,Tide Pods,14
9/16/13,1,Tide Pods,16
9/17/13,1,Tide Pods,20
9/18/13,1,Tide Pods,18
9/19/13,1,Tide Pods,16
9/20/13,1,Tide Pods,11
9/21/13,1,Tide Pods,13
9/22/13,1,Tide Pods,16
9/23/13,1,Tide Pods,18
9/24/13,1,Tide Pods,14
9/25/13,1,Tide Pods,17
9/26/13,1,Tide Pods,20
9/27/13,1,Tide Pods,22
9/28/13,1,Tide Pods,13
9/29/13,1,Tide Pods,20
9/30/13,1,Tide Pods,20
10/1/13,1,Tide Pods,12
10/2/13,1,Tide Pods,11
10/3/13,1,Tide Pods,14
10/4/13,1,Tide Pods,14
10/5/13,1,Tide Pods,14
10/6/13,1,Tide Pods,20
10/7/13,1,Tide Pods,13
